iter	Passed	Remaining
409	2375	3418
410	2377	3407
411	2380	3397
412	2384	3389
413	2386	3378
414	2389	3368
415	2391	3357
416	2393	3346
417	2396	3336
418	2399	3327
419	2402	3317
420	2405	3307
421	2407	3297
422	2409	3287
423	2412	3276
424	2415	3268
425	2418	3258
426	2420	3248
427	2423	3238
428	2425	3228
429	2428	3218
430	2431	3210
431	2434	3200
432	2436	3190
433	2438	3180
434	2441	3170
435	2443	3161
436	2448	3153
437	2450	3144
438	2452	3134
439	2455	3124
440	2457	3115
441	2462	3108
442	2465	3099
443	2468	3091
444	2471	3082
445	2473	3072
446	2475	3062
447	2479	3055
448	2482	3046
449	2484	3036
450	2486	3027
451	2489	3017
452	2491	3008
453	2495	3001
454	2497	2991
455	2500	2982
456	2502	2973
457	2504	2964
458	2507	2955
459	2511	2947
460	2513	2938
461	2515	2929
462	2518	2920
463	2520	2911
464	2523	2903
465	2526	2895
466	2529	2886
467	2531	2877
468	2534	2869
469	2536	2860
470	2539	2851
471	2542	2843
472	2544	2834
473	2546	2826
474	2549	2817
475	2551	2809
476	2556	2802
477	2561	2797
478	2565	2790
479	2567	2781
480	2570	2773
481	2574	2766
482	2576	2758
483	2579	2749
484	2581	2741
485	2583	2732
486	2587	2725
487	2589	2716
488	2591	2708
489	2594	2700
490	2596	2691
491	2599	2683
492	2601	2675
493	2605	2668
494	2607	2659
495	2609	2651
496	2611	2643
497	2614	2635
498	2616	2627
499	2620	2620
500	2622	2612
501	2625	2604
502	2627	2596
503	2629	2588
504	2632	2580
505	2636	2573
506	2638	2565
507	2641	2558
508	2643	2549
509	2645	2542
510	2648	2534
511	2652	2528
512	2655	2520
513	2657	2512
514	2659	2504
515	2662	2496
516	2664	2489
517	2668	2483
518	2671	2475
519	2674	2468
520	2676	2461
521	2679	2453
522	2683	2447
523	2685	2439
524	2687	2431
525	2690	2424
526	2692	2416
527	2695	2409
528	2700	2404
529	2702	2396
530	2705	2389
531	2707	2381
532	2709	2374
533	2714	2368
534	2716	2361
535	2719	2353
536	2721	2346
537	2723	2339
538	2726	2331
539	2730	2325
540	2733	2319
541	2735	2311
542	2737	2304
543	2740	2297
544	2743	2290
545	2746	2283
546	2748	2276
547	2751	2269
548	2753	2262
549	2756	2255
550	2759	2248
551	2762	2242
552	2765	2235
553	2768	2228
554	2770	2221
555	2773	2214
556	2777	2208
557	2779	2201
558	2781	2194
559	2784	2187
560	2786	2180
561	2789	2174
562	2793	2168
563	2795	2161
564	2798	2154
565	2800	2147
566	2802	2140
567	2805	2133
568	2809	2127
569	2811	2121
570	2813	2114
571	2816	2107
572	2819	2100
573	2821	2094
574	2824	2087
575	2827	2081
576	2829	2074
577	2832	2067
578	2834	2061
579	2837	2054
580	2840	2048
581	2843	2041
582	2846	2035
583	2848	2028
584	2850	2022
585	2853	2016
586	2856	2009
587	2859	2003
588	2861	1996
589	2864	1990
590	2866	1983
591	2869	1977
592	2872	1971
593	2875	1965
594	2878	1959
595	2880	1952
596	2883	1946
597	2886	1940
598	2889	1934
599	2891	1927
600	2894	1921
601	2896	1914
602	2898	1908
603	2902	1903
604	2905	1896
605	2908	1890
606	2910	1884
607	2912	1877
608	2915	1871
609	2918	1865
610	2921	1859
611	2923	1853
612	2925	1847
613	2928	1840
614	2930	1834
615	2934	1829
616	2937	1823
617	2941	1817
618	2944	1812
619	2947	1806
620	2950	1800
621	2952	1794
622	2954	1788
623	2957	1782
624	2959	1775
625	2963	1770
626	2965	1764
627	2968	1758
628	2970	1752
629	2973	1746
630	2975	1740
631	2978	1734
632	2982	1729
633	2986	1723
634	2988	1717
635	2990	1711
636	2994	1706
637	2997	1700
638	2999	1694
639	3002	1688
640	3004	1682
641	3007	1676
642	3010	1671
643	3012	1665
644	3015	1659
645	3017	1653
646	3020	1647
647	3022	1641
648	3025	1636
649	3028	1630
650	3031	1625
651	3033	1619
652	3036	1613
653	3039	1607
654	3042	1602
655	3044	1596
656	3047	1590
657	3049	1585
658	3052	1579
659	3054	1573
660	3058	1568
661	3061	1562
662	3063	1557
663	3065	1551
664	3068	1545
665	3070	1539
666	3074	1534
667	3077	1529
668	3081	1524
669	3083	1518
670	3086	1513
671	3089	1508
672	3092	1502
673	3094	1496
674	3097	1491
675	3099	1485
676	3101	1479
677	3104	1474
678	3107	1468
679	3109	1463
680	3112	1457
681	3114	1452
682	3116	1446
683	3120	1441
684	3122	1436
685	3125	1430
686	3127	1425
687	3129	1419
688	3132	1413
689	3135	1408
690	3138	1403
691	3140	1397
692	3142	1392
693	3145	1386
694	3147	1381
695	3150	1376
696	3153	1370
697	3155	1365
698	3158	1359
699	3160	1354
700	3162	1349
701	3165	1343
702	3169	1339
703	3172	1333
704	3175	1328
705	3177	1323
706	3179	1317
707	3182	1312
708	3185	1307
709	3188	1302
710	3190	1296
711	3192	1291
712	3195	1286
713	3198	1281
714	3200	1275
715	3203	1270
716	3205	1265
717	3208	1259
718	3211	1254
719	3215	1250
720	3218	1245
721	3223	1241
722	3225	1235
723	3228	1230
724	3235	1227
725	3237	1221
726	3240	1216
727	3242	1211
728	3246	1206
729	3251	1202
730	3254	1197
731	3257	1192
732	3259	1187
733	3264	1183
734	3268	1178
735	3272	1173
736	3275	1168
737	3279	1164
738	3283	1159
739	3286	1154
740	3290	1150
741	3293	1145
742	3299	1141
743	3301	1136
744	3305	1131
745	3309	1126
746	3314	1122
747	3316	1117
748	3321	1113
749	3330	1110
750	3335	1105
751	3337	1100
752	3341	1096
753	3345	1091
754	3350	1087
755	3352	1082
756	3356	1077
757	3360	1072
758	3363	1068
759	3368	1063
760	3372	1059
761	3376	1054
762	3379	1049
763	3383	1045
764	3386	1040
765	3391	1036
766	3395	1031
767	3399	1026
768	3401	1021
769	3408	1018
770	3412	1013
771	3414	1008
772	3422	1005
773	3426	1000
774	3430	995
775	3432	990
776	3436	986
777	3441	981
778	3444	977
779	3447	972
780	3451	967
781	3456	963
782	3459	958
783	3463	954
784	3467	949
785	3472	945
786	3475	940
787	3479	935
788	3484	931
789	3488	927
790	3491	922
791	3495	917
792	3498	913
793	3504	909
794	3507	904
795	3509	899
796	3512	894
797	3517	890
798	3521	885
799	3525	881
800	3527	876
801	3532	872
802	3536	867
803	3540	863
804	3543	858
805	3548	853
806	3553	849
807	3557	845
808	3560	840
809	3564	836
810	3568	831
811	3571	826
812	3573	821
813	3576	817
814	3580	812
815	3582	807
816	3584	802
817	3587	798
818	3590	793
819	3593	788
820	3596	784
821	3599	779
822	3602	774
823	3604	769
824	3609	765
825	3611	760
826	3614	756
827	3618	751
828	3620	746
829	3624	742
830	3627	737
831	3630	733
832	3632	728
833	3635	723
834	3640	719
835	3644	714
836	3647	710
837	3649	705
838	3651	700
839	3655	696
840	3658	691
841	3660	686
842	3662	682
843	3665	677
844	3667	672
845	3670	668
846	3673	663
847	3675	658
848	3677	654
849	3680	649
850	3682	644
851	3684	640
852	3688	635
853	3691	631
854	3693	626
855	3695	621
856	3698	617
857	3700	612
858	3704	608
859	3706	603
860	3708	598
861	3711	594
862	3713	589
863	3715	584
864	3720	580
865	3722	576
866	3725	571
867	3728	567
868	3731	562
869	3736	558
870	3738	553
871	3740	549
872	3742	544
873	3745	539
874	3747	535
875	3751	531
876	3754	526
877	3756	522
878	3759	517
879	3761	512
880	3764	508
881	3768	504
882	3770	499
883	3773	495
884	3775	490
885	3777	486
886	3780	481
887	3784	477
888	3786	472
889	3788	468
890	3791	463
891	3793	459
892	3796	454
893	3799	450
894	3801	445
895	3803	441
896	3805	437
897	3808	432
898	3810	428
899	3814	423
900	3816	419
901	3819	414
902	3821	410
903	3823	406
904	3826	401
905	3830	397
906	3832	392
907	3834	388
908	3837	384
909	3839	379
910	3842	375
911	3846	371
912	3848	366
913	3851	362
914	3854	358
915	3857	353
916	3861	349
917	3863	345
